FW_name,ecosystem.type,study_ID,lat,metric,avg
foodweb20,Soils,Russian soils,67.07881,NDVI,0.5454931419817861
IS1,Streams,Hengill valley,64.05396,NDVI,0.5279789182224807
IS3,Streams,Hengill valley,64.05635,NDVI,0.49087879563626785
IS4,Streams,Hengill valley,64.05656,NDVI,0.4654350455028165
IS5,Streams,Hengill valley,64.05562,NDVI,0.5569970054830031
IS6,Streams,Hengill valley,64.05669,NDVI,0.5552971626646371
IS7,Streams,Hengill valley,64.05738,NDVI,0.5003777779076564
IS8,Streams,Hengill valley,64.05745,NDVI,0.4802435260181005
IS9,Streams,Hengill valley,64.05782,NDVI,0.3932886362622729
IS10,Streams,Hengill valley,64.05831,NDVI,0.34739909202913893
IS11,Streams,Hengill valley,64.05881,NDVI,0.3931364429974389
IS12,Streams,Hengill valley,64.04801,NDVI,0.4622466787733158
IS13,Streams,Hengill valley,64.053609,NDVI,0.5328301586938174
IS14,Streams,Hengill valley,64.06031,NDVI,0.5592544151548646
IS16,Streams,Hengill valley,64.056653,NDVI,0.4804633465435241
Afon Berwyn,Streams,UK chalk streams,52.21996,NDVI,0.6479910346668809
Afon Bidno,Streams,UK chalk streams,52.42676,NDVI,0.6845623901102749
Afon Ceirw,Streams,UK chalk streams,52.8442,NDVI,0.589769410902095
Afon Dulais,Streams,UK chalk streams,52.04286,NDVI,0.653055093394187
Afon Gain,Streams,UK chalk streams,52.88488,NDVI,0.5133587468527621
Afon Gwy 2005,Streams,UK chalk streams,52.4535,NDVI,0.5474557567408079
Afon Gwy 2012,Streams,UK chalk streams,52.45369,NDVI,0.4611536413112032
Afon Hafren 2005,Streams,UK chalk streams,52.4737,NDVI,0.6794481189278719
Afon Hafren 2012,Streams,UK chalk streams,52.47543,NDVI,0.676027176674773
Afon Marteg,Streams,UK chalk streams,52.33123,NDVI,0.64166659433618
Allt a_Mharcaidh,Streams,UK chalk streams,57.11777,NDVI,0.563181584270358
Allt na Coire nan Con,Streams,UK chalk streams,56.75857,NDVI,0.5958274437147218
Beagh_s Burn,Streams,UK chalk streams,55.10064,NDVI,0.6217566992317074
Broadstone Stream,Streams,UK chalk streams,51.08178,NDVI,0.6569838023467595
D6,Streams,UK chalk streams,54.40691,NDVI,0.5881967455330019
Dargall Lane,Streams,UK chalk streams,55.07752,NDVI,0.4735741989095362
Duddon Pike Beck,Streams,UK chalk streams,54.40501,NDVI,0.5842851662664066
G1,Streams,UK chalk streams,52.10348,NDVI,0.6045778962697292
G2,Streams,UK chalk streams,52.10269,NDVI,0.57660897995274
Hardknott Gill,Streams,UK chalk streams,54.40401,NDVI,0.6002475491266006
L3,Streams,UK chalk streams,52.14271,NDVI,0.6329621898305327
L6,Streams,UK chalk streams,52.13286,NDVI,0.607800754382184
L7,Streams,UK chalk streams,52.12941,NDVI,0.6286708718313707
L8,Streams,UK chalk streams,52.1264,NDVI,0.5901883552331922
Lone Oak,Streams,UK chalk streams,51.07648,NDVI,0.7321276318819947
Mill Stream,Streams,UK chalk streams,50.67748,NDVI,0.639326933494297
Mosedale Beck,Streams,UK chalk streams,54.40799,NDVI,0.4970949991931184
Nant Clywedog Uchaf,Streams,UK chalk streams,52.14532,NDVI,0.6142265994251787
Nant Gelli Gethin,Streams,UK chalk streams,52.6479,NDVI,0.6437918256563036
Nant Gwryd,Streams,UK chalk streams,53.09602,NDVI,0.5765844392585358
Nant Pen y Cwm,Streams,UK chalk streams,52.6422,NDVI,0.7060142988651061
Narrator Brook,Streams,UK chalk streams,50.50447,NDVI,0.6752836683266541
Old Lodge,Streams,UK chalk streams,51.04404,NDVI,0.5207059733468435
River Bure,Streams,UK chalk streams,52.82422,NDVI,0.7399409293476856
River Duddon,Streams,UK chalk streams,54.40515,NDVI,0.6127369654705254
River Etherow,Streams,UK chalk streams,53.49273,NDVI,0.642703563113233
River Fiddich,Streams,UK chalk streams,57.44091616,NDVI,0.5898037652444424
River Loddon,Streams,UK chalk streams,51.29222,NDVI,0.6963947259775203
River Lyde,Streams,UK chalk streams,51.28754,NDVI,0.7020585273430644
River Test,Streams,UK chalk streams,51.13945,NDVI,0.7494296118048654
River Wensum,Streams,UK chalk streams,52.77651,NDVI,0.716925307175023
Upper Duhonw,Streams,UK chalk streams,52.12884,NDVI,0.6655203621076308
Upper Llugwy,Streams,UK chalk streams,53.11242,NDVI,0.41560101284291423
Wrynose Pass Beck,Streams,UK chalk streams,54.41411,NDVI,0.6005447539154741
revetment,Streams,Elbe,51.883449,NDVI,0.33345029317877967
rip rap,Streams,Elbe,51.884135,NDVI,0.6085269184731495
wing dike,Streams,Elbe,51.874583,NDVI,0.32472004126145426
Sum53,Streams,Hall et al,35.06136111,NDVI,0.6534411096530545
Win53,Streams,Hall et al,35.06136111,NDVI,0.6534411096530545
Sum55,Streams,Hall et al,35.06136111,NDVI,0.6534411096530545
Win55,Streams,Hall et al,35.06136111,NDVI,0.6534411096530545
morup,Streams,Montsant,41.3303954,NDVI,0.3386650433191647
mordown1,Streams,Montsant,41.296295,NDVI,0.5242886436529293
mordown2,Streams,Montsant,41.288889,NDVI,0.43108509370700343
mordown3,Streams,Montsant,41.249028,NDVI,0.5394403235129076
S1,Streams,Cananeia,-25.04,NDVI,0.5999723810572369
S6,Streams,Cananeia,-25.02,NDVI,-0.3763036293418489
S8,Streams,Cananeia,-24.95,NDVI,0.7971028369455803
