FW_name,temperature_C,lat,lon,ecosystem.type,sampling.start.year,sampling.end.year,study_ID,stability,flux,second.consumption,prim.consumption,biomass,animal.biomass,plant.biomass,S,L,LD,C,generality,vulnerability,MeanTL,MaxTL,sim.sec.cons,sim.prim.cons,sim.total,prim.cons.richness,sec.cons.richness,SC
PGSBP2,31,-23.824949,-45.4131,Marine,2013,2015,Intertidal rockpools,0.004939297,6712.106138,1971.200477,4740.905661,164.12,129.1357143,34.98428571,29,89,3.068965517,0.105826397,0.034229647,0.054882066,2.318475252,4,0.774770078,0.595748926,0.766937872,13,17,1
PGUBP1,24,-23.466834,-45.060145,Marine,2013,2015,Intertidal rockpools,0.001752078,1073.207381,118.6811002,954.5262803,13.356,8.162,5.194,18,46,2.555555556,0.141975309,0.066367616,0.122102788,1.896015549,4,0.58202038,0.572222222,0.68713761,6,9,1
PGUBP2,26,-23.466831,-45.060127,Marine,2013,2015,Intertidal rockpools,0.04488129,2372.615206,663.2503279,1709.364878,43.25166667,25.951,17.30066667,20,48,2.4,0.12,0.068398557,0.150755672,2.007291667,4,0.645816187,0.454166667,0.695833333,4,9,1
PGUBP3,28.5,-23.466854,-45.060104,Marine,2013,2015,Intertidal rockpools,0.039969845,3630.186755,1006.810609,2623.376146,55.07492308,34.094,20.98092308,21,65,3.095238095,0.14739229,0.05936643,0.135091108,1.949438582,4,0.62131647,0.493923611,0.651813998,8,11,1
PGUBP4,30,-23.466893,-45.060094,Marine,2013,2015,Intertidal rockpools,0.053868493,1663.537823,26.44097002,1637.096853,13.641,9.094,4.547,18,51,2.833333333,0.157407407,0.05390846,0.190250588,1.877314815,3,0.518518519,0.484375,0.548611111,8,9,1
PP1I1,21.2,48.493018,-68.500248,Marine,2013,2015,Intertidal rockpools,0.06781215,4967.386027,495.3182004,4472.067827,377.19378,209.5521,167.64168,27,113,4.185185185,0.155006859,0.047086417,0.058056579,1.805507456,3.636363636,0.646768396,0.605080921,0.690366711,6,12,1
PP1I2,19.3,48.492827,-68.50058,Marine,2013,2015,Intertidal rockpools,5.55E-17,1968.034797,35.47269327,1932.562104,24.8696,14.2112,10.6584,14,27,1.928571429,0.137755102,0.080181663,0.248007936,1.657142857,3,0.416666667,0.512,0.584375,5,2,1
PP1I3,20.5,48.49427,-68.496102,Marine,2013,2015,Intertidal rockpools,0.085191264,4136.18714,471.3327075,3664.854432,208.56,132.72,75.84,11,22,2,0.181818182,0.090909091,0.151185789,1.757575758,2.583333333,0.526984127,0.608928571,0.535568513,4,3,1
PP1I4,18.4,48.4938,-68.4997,Marine,2013,2015,Intertidal rockpools,0.018018406,2395.131181,186.2409155,2208.890265,76.275,33.9,42.375,18,58,3.222222222,0.179012346,0.075166355,0.353553391,1.477777778,2.5,0.261595547,0.535353535,0.403409091,3,7,1
PP2I1,12.7,48.496957,-68.49554,Marine,2013,2015,Intertidal rockpools,0.017183309,1612.562566,145.638575,1466.923991,69.17785,39.5302,29.64765,21,80,3.80952381,0.181405896,0.053124125,0.132954006,1.694860866,3,0.518720323,0.481671415,0.505700973,9,6,1
PP2I2,12.3,48.497064,-68.495416,Marine,2013,2015,Intertidal rockpools,0.011728529,1732.384102,179.9373241,1552.446778,106.197,55.627,50.57,21,67,3.19047619,0.151927438,0.062011117,0.24271195,1.652380952,3,0.525,0.544727273,0.555188246,5,8,1
