"FW_name","temperature_C","ecosystem.type","study_ID","lat","lon","sampling.start.year","sampling.end.year","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"Helldiver pond",17.56666667,"Lakes","Adirondack lakes",43.66944444,-74.7,1984,1984,164833488.187733,217.976547779535,16.3327370704725,201.643810709063,1.70023894286082,38,1.1452160359935,3.12380952380952,0.181591386554622,0.481259300595238,0.581998198423162,"142",3.73684210526316,0.0983379501385042,0.042104191479671
"High pond",9.55,"Lakes","Adirondack lakes",44.08527778,-74.65944444,1984,1984,19127.7109553061,41.8091680532483,0.217281085155398,41.5918869680929,0.0829488417732551,22,0.079251001212216,3.1,0.102564102564103,0.413746017296313,0.488547008547009,"64",2.90909090909091,0.132231404958678,0.055
"Hoel lake",13.78125,"Lakes","Adirondack lakes",44.35805556,-74.35944444,1984,1984,190731843.707743,97.4766186057702,5.95471936148404,91.5218992442862,1139859.2686696,70,0.0740180162466787,4.0347519298873,0.638510032775136,0.552283198226042,0.728205399212218,"516",7.37142857142857,0.10530612244898,0.0957751097399885
"Horseshoe Lake",18.9,"Lakes","Adirondack lakes",44.31722222,-74.36055556,1984,1984,83410781.8953763,117.450243566016,21.0558390370052,96.3944045290111,1994525.56053612,47,0.0567220685289081,4.09067821067821,0.687225586205178,0.37810650887574,0.749402684757714,"223",4.74468085106383,0.100950656405613,0.130254786053178
"Indian Lake",12.69090909,"Lakes","Adirondack lakes",43.62333333,-74.76222222,1984,1984,2.32629337492263e-09,51.1186860688033,4.99881912009356,46.1198669487097,1.92198910192745,33,0.123474,3,0.461538461538462,0.476470588235294,0.48120786776249,"92",2.78787878787879,0.0844811753902663,0.00929839391377853
"Little Rainbow Lake",22.2,"Lakes","Adirondack lakes",44.35916667,-74.32916667,1984,1984,30129513.4521557,3196.94930374061,12.5269648741456,3184.42233886647,0.0299722752913601,47,1.02077901114341,3.02771302771303,0.167521367521368,0.540041133532258,0.395376638903425,"175",3.72340425531915,0.07922136713445,0.0111684458356305
"Long Lake",17.28333333,"Lakes","Adirondack lakes",44.31638889,-73.92916667,1984,1984,135944322.630971,232.299867355048,16.6297963830436,215.670070972005,69345.09888584,62,0.560471123193722,3.70896845090393,0.624548921110366,0.624261677151638,0.732190113007804,"364",5.87096774193548,0.0946930280957336,0.11145434756394
"Loon Lake",18.425,"Lakes","Adirondack lakes",44.4875,-74.16722222,1984,1984,209897023.802166,270.684936973282,11.9167599541572,258.768177019124,809732.423550664,32,0.216246046852339,3.52022058823529,0.463157894736842,0.47029936494883,0.52639565735326,"89",2.78125,0.0869140625,0.0485436332246678
"Lost Lake",22.24,"Lakes","Adirondack lakes",44.46194444,-74.28388889,1984,1984,9540070.60398699,147.422274576159,38.813854096039,108.60842048012,38.1523465369754,26,0.0803260058006782,3.14285714285714,0.497777777777778,0.444444444444444,0.565532879818594,"92",3.53846153846154,0.136094674556213,0.0204081632653061
"Lost Lake East",14.55,"Lakes","Adirondack lakes",43.68777778,-74.66611111,1984,1984,1.63983714912443e-09,131.072433727437,9.00509451975195,122.067339207685,0.940647169719402,38,0.439573009006316,3,0.509818181818182,0.148760330578512,0.518536931818182,"110",2.89473684210526,0.0761772853185596,2.05059013715121e-31
"Lower Sister Lake",20.9,"Lakes","Adirondack lakes",43.87166667,-74.77777778,1984,1984,117299270.330009,265.04180589628,9.60078573646175,255.441020159819,20.1713969321472,34,0.210451038022798,3.07962962962963,0.575187278858912,0.576475638516197,0.641503648827952,"131",3.85294117647059,0.113321799307958,0.0506411911167349
"Oswego Lake",14.75,"Lakes","Adirondack lakes",43.85027778,-74.9,1984,1984,255934.45638006,68.9224969567421,4.73066381777143,64.1918331389706,2.26224627313542,31,0.360147001068546,3.09090909090909,0.0952380952380953,0.428571428571429,0.587182348901099,"116",3.74193548387097,0.120707596253902,0.0472027972027973
"Owl Lake",22.38,"Lakes","Adirondack lakes",44.26833333,-74.15305556,1984,1984,71104071.3291804,271.929001455442,53.1398474139922,218.78915404145,9.06794651885075,29,0.175066020874417,2.77777777777778,0,0.40625,0.571900826446281,"67",2.31034482758621,0.079667063020214,0.015712682379349
