"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"GJAP2",34,-3.237669,-39.230434,"Marine",2013,2015,"Intertidal rockpools",0.231658081303692,846.634846800368,112.353105254524,734.281741545843,0.00866724887960881,30,1124.1931547619,3.5,0.65030622515716,0.5616519449494,0.666796060349271,139,4.63333333333333,0.154444444444444,0.191734123847533
"GJAP3",33,-3.237576,-39.230841,"Marine",2013,2015,"Intertidal rockpools",0.00704361369779747,329.093714366049,13.8565305404069,315.237183825642,0.00217999274034799,23,511.360094850948,3.09166666666667,0.526168046829204,0.529367751589974,0.611437871792901,84,3.65217391304348,0.158790170132325,0.0784831196581197
"GJAP4",29,-3.23772,-39.230302,"Marine",2013,2015,"Intertidal rockpools",0.00347103862446842,385.673568520558,72.8576718550774,312.815896665481,0.00687423340133557,25,537.207038954169,3.5,0.652095307632588,0.540883606189729,0.684053378712363,80,3.2,0.128,0.144025327221938
"GJBP1",32,-3.239132,-39.228635,"Marine",2013,2015,"Intertidal rockpools",0.00913453234308139,857.282681905626,93.0801580139104,764.202523891716,0.0763621577722355,40,559.973792270531,3.51324841797604,0.525489170275634,0.456718013572372,0.573383845072208,367,9.175,0.229375,0.193867930137494
"GJBP2",34,-3.2391122,-39.228463,"Marine",2013,2015,"Intertidal rockpools",0.0101962158105482,1813.79579717147,330.475167411856,1483.32062975961,0.835193553527861,33,519.89271733491,3.38371680410287,0.385991742395138,0.445694282794993,0.541318102798337,237,7.18181818181818,0.21763085399449,0.11744416697517
"GJBP3",33,-3.239011,-39.228519,"Marine",2013,2015,"Intertidal rockpools",0.0104542750596398,282.958776610392,8.54022627017212,274.41855034022,0.0101102869018808,27,519.281944444444,3.23306031273269,0.458913885477135,0.486394909460114,0.50883523617154,169,6.25925925925926,0.231824417009602,0.189212257611296
"GJBP4",33,-3.239112,-39.228493,"Marine",2013,2015,"Intertidal rockpools",0.000723032821112956,190.101159808246,3.37753613774984,186.723623670496,6.24680012548176e-05,23,508.25,3.5,0.533710322599211,0.545089285714286,0.611284086284086,88,3.82608695652174,0.166351606805293,0.111433833399368
"L1P1",19,39.286564,-9.340457,"Marine",2013,2015,"Intertidal rockpools",0.026354283037357,1392.90970658984,515.133269973551,877.776436616294,0.276413918029991,60,1057.66140113238,4.31538461538462,0.787769723671247,0.622831857278882,0.717754428650917,454,7.56666666666667,0.126111111111111,0.153133379180844
"L1P2",20,39.286564,-9.340603,"Marine",2013,2015,"Intertidal rockpools",0.0373977910032046,341.906199883046,69.4663576389227,272.439842244124,0.289769596849016,42,1038.57946775447,4.20370370370371,0.729722660304824,0.517660633673439,0.663750604704151,283,6.73809523809524,0.160430839002268,0.169262640047426
"L1P3",20,39.286584,-9.340573,"Marine",2013,2015,"Intertidal rockpools",0.0759525307382703,1414.64431626172,547.322565694768,867.321750566952,0.463816593538333,48,1047.21384157915,4.20370370370371,0.72974390483611,0.496285679830341,0.637233884637553,378,7.875,0.1640625,0.187717173727765
